0,1,2,3,4,5,6,7,8
0,38,19,11,5,3,33,17,16
0,38,19,12,2,5,24,20,4
2,32,19,10,2,7,29,24,5
1,31,19,8,7,4,32,29,3
2,29,19,8,5,6,31,24,7
1,29,19,6,11,2,21,14,7
1,29,19,7,8,4,24,18,6
0,29,19,7,8,4,26,26,0
0,27,19,7,6,6,24,14,10
1,26,19,7,5,7,29,24,5
1,26,19,7,5,7,25,20,5
2,22,19,6,4,9,26,41,-15
3,21,19,6,3,10,20,28,-8
2,19,19,4,7,8,16,20,-4
3,19,19,5,6,8,21,29,-8
3,19,19,5,4,10,22,32,-10
2,16,19,4,4,11,17,29,-12
3,13,19,2,7,10,20,37,-17
3,11,19,1,8,10,15,33,-18
0,44,19,13,5,1,44,13,31
0,41,19,12,5,2,31,13,18
0,40,19,12,4,3,22,8,14
0,33,19,10,3,6,28,20,8
1,31,19,8,7,4,27,21,6
1,29,19,8,5,6,27,20,7
2,29,19,7,8,4,23,21,2
1,27,19,8,3,8,26,26,0
1,27,19,7,6,6,21,24,-3
2,26,19,8,2,9,21,17,4
0,25,19,6,7,6,28,27,1
1,25,19,6,7,6,20,24,-4
3,24,19,6,6,7,19,19,0
3,23,19,7,2,10,18,25,-7
2,21,19,5,6,8,22,24,-2
2,20,19,5,5,9,19,32,-13
2,17,19,2,11,6,18,24,-6
3,14,19,3,5,11,17,28,-11
3,11,19,2,5,12,15,39,-24
3,9,19,1,6,12,13,34,-21
0,41,19,13,2,4,38,17,21
0,39,19,12,3,4,40,17,23
0,38,19,10,8,1,32,13,19
0,36,19,10,6,3,22,12,10
0,32,19,9,5,5,23,18,5
1,31,19,9,4,6,26,27,-1
2,30,19,8,6,5,19,17,2
1,28,19,8,4,7,21,24,-3
2,28,19,8,4,7,25,30,-5
1,26,19,7,5,7,21,19,2
1,24,19,6,6,7,16,17,-1
2,22,19,6,4,9,21,26,-5
1,22,19,7,1,11,20,31,-11
3,21,19,6,3,10,22,29,-7
3,20,19,6,2,11,21,26,-5
3,19,19,5,4,10,20,24,-4
3,19,19,5,4,10,17,27,-10
3,19,19,6,1,12,20,33,-13
2,18,19,4,6,9,16,23,-7
2,15,19,3,6,10,22,32,-10
0,51,19,16,3,0,48,9,39
0,32,19,8,8,3,25,23,2
1,31,19,8,7,4,17,11,6
1,30,19,9,3,7,21,22,-1
0,29,19,8,5,6,32,23,9
1,29,19,9,2,8,22,22,0
1,27,19,6,9,4,25,21,4
2,26,19,6,8,5,27,26,1
0,26,19,7,5,7,23,23,0
2,25,19,6,7,6,28,21,7
0,24,19,5,9,5,15,13,2
3,24,19,6,6,7,20,22,-2
2,24,19,6,6,7,14,17,-3
2,23,19,5,8,6,23,28,-5
2,22,19,6,4,9,22,25,-3
1,22,19,6,4,9,20,24,-4
3,21,19,5,6,8,19,24,-5
3,19,19,5,4,10,17,27,-10
3,17,19,3,8,8,21,33,-12
3,8,19,0,8,11,10,35,-25
0,44,19,13,5,1,34,13,21
0,42,19,13,3,3,56,20,36
0,39,19,12,3,4,38,15,23
0,37,19,12,1,6,37,19,18
1,30,19,8,6,5,25,19,6
0,30,19,8,6,5,22,19,3
1,28,19,8,4,7,20,23,-3
1,26,19,6,8,5,18,16,2
2,26,19,7,5,7,22,21,1
1,25,19,6,7,6,20,26,-6
2,22,19,5,7,7,28,31,-3
1,22,19,6,4,9,13,26,-13
2,21,19,6,3,10,18,25,-7
3,21,19,5,6,8,15,23,-8
3,20,19,5,5,9,17,23,-6
3,19,19,4,7,8,26,29,-3
2,19,19,5,4,10,15,24,-9
3,18,19,5,3,11,20,33,-13
